Lakkautuskunta,Nimike,Ajankohta,Liitoskunta,Nimike_1
836,Tammisaaren mlk,1.1.1977,710,Raasepori
835,Tammisaari,1.1.2009,710,Raasepori
838,Tarvasjoki,26.11.2014,423,Lieto
839,Teerijärvi,1.1.1969,288,Kruunupyy
840,Teisko,1.1.1972,837,Tampere
841,Temmes,1.1.2001,859,Tyrnävä
842,Tenhola,1.1.1993,710,Raasepori
843,Terijoki,19.9.1944,NA,Luovutetulla alueella
847,Tiukka,1.1.1973,287,Kristiinankaupunki
864,Toijala,1.1.2007,020,Akaa
852,Tottijärvi,1.1.1976,536,Nokia
855,Tuulos,1.1.2009,109,Hämeenlinna
856,Tuupovaara,1.1.2005,167,Joensuu
860,Tyrväntö,1.1.1971,082,Hattula
861,Tyrvää,1.1.1973,790,Sastamala
862,Tytärsaari,19.9.1944,NA,Luovutetulla alueella
863,Töysä,1.1.2013,010,Alavus
885,Ullava,1.1.2009,272,Kokkola
888,Uskela,1.1.1967,734,Salo
894,Uudenkaarlepyyn mlk,1.1.1975,893,Uusikaarlepyy
896,Uudenkaupungin mlk,1.1.1969,895,Uusikaupunki
891,Uukuniemi,1.1.2005,580,Parikkala
897,Uusikirkko,19.9.1944,NA,Luovutetulla alueella
906,Vahto,1.1.2009,704,Rusko
907,Vahviala,1.1.1946,405,Lappeenranta
909,Valkeala,1.1.2009,286,Kouvola
910,Valkjärvi,19.9.1944,NA,Luovutetulla alueella
912,Vammala,1.1.2009,790,Sastamala
913,Vampula,1.1.2009,102,Huittinen
914,Vanaja,1.1.1967,109,Hämeenlinna
916,Varpaisjärvi,1.1.2011,402,Lapinlahti
917,Vehkalahti,1.1.2003,075,Hamina
919,Vehmersalmi,1.1.2005,297,Kuopio
920,Velkua,1.1.2009,529,Naantali
926,Vihanti,1.1.2013,678,Raahe
928,Viiala,1.1.2007,020,Akaa
929,Viipuri,19.9.1944,NA,Luovutetulla alueella
930,Viipurin mlk,19.9.1944,NA,Luovutetulla alueella
932,Viljakkala,1.1.2007,980,Ylöjärvi
933,Vilppula,1.1.2009,508,Mänttä-Vilppula
937,Virtasalmi,1.1.2004,593,Pieksämäki
938,Vuoksela,19.9.1944,NA,Luovutetulla alueella
939,Vuoksenranta,19.9.1944,NA,Luovutetulla alueella
940,Vuolijoki,1.1.2007,205,Kajaani
942,Vähäkyrö,1.1.2013,905,Vaasa
943,Värtsilä,1.1.2005,848,Tohmajärvi
923,Västanfjärd,1.1.2009,322,Kemiönsaari
944,Vöyri,1.1.2007,946,Vöyri
945,Vöyri-Maksamaa,1.1.2011,946,Vöyri
971,Ylihärmä,1.1.2009,233,Kauhava
972,Yli-Ii,1.1.2013,564,Oulu
973,Ylikiiminki,1.1.2009,564,Oulu
974,Ylimarkku,1.1.1973,545,Närpiö
975,Ylistaro,1.1.2009,743,Seinäjoki
978,Ylämaa,1.1.2010,405,Lappeenranta
979,Yläne,1.1.2009,636,Pöytyä
988,Äetsä,1.1.2009,790,Sastamala
990,Ähtävä,1.1.1977,599,Pedersören kunta
991,Äyräpää,19.9.1944,NA,Luovutetulla alueella
993,Äänekosken mlk,1.1.1969,992,Äänekoski
997,Öja,1.1.1969,272,Kokkola
442,Luvia,1.1.2017,051,Eurajoki
174,Juankoski,1.1.2017,297,Kuopio
164,Jalasjärvi,1.1.2016,301,Kurikka
283,Hämeenkoski,1.1.2016,098,Hollola
319,Köyliö,1.1.2016,783,Säkylä
532,Nastola,1.1.2016,398,Lahti
